rank,title,ratings,rating_num,meta
217,七夜雪,8.5,24311,沧月 / 北京十月文艺出版社 / 2006-10 / 25.00元
218,一只特立独行的猪,8.8,23801,王小波 / 北方文艺出版社 / 2006-4 / 18.80元
219,长恨歌,8.3,24898,王安忆 / 南海出版公司 / 2003-8 / 22.00元
220,曾有一个人，爱我如生命,7.6,26094,舒仪 / 中国画报出版社 / 2009-3 / 23.80
221,佛祖在一号线,8.2,24671,李海鹏 / 文化艺术出版社 / 2010-6 / 25.00元
222,杜拉拉2华年似水,7.3,26796,李可 / 陕西师范大学出版社 / 2009-1 / 28.00
223,如何阅读一本书,8.5,24142,[美] 莫提默·J. 艾德勒 / 郝明义 / 商务印书馆 / 2004-1 / 38.00元
224,谁动了我的奶酪？,7.2,27073,[美] 斯宾塞·约翰逊 / 吴立俊 / 中信出版社 / 2001-9 / 16.80元
225,最初的爱情 最后的仪式,8.0,25043,[英] 伊恩·麦克尤恩 / 潘帕 / 南京大学出版社 / 2010-2 / 22.00元
226,不朽,7.6,25811,落落 / 长江文艺出版社 / 2007-12 / 22.00
227,阿狸·梦之城堡,9.0,22868,hans / 上海锦绣文章出版社 / 2009-1 / 36.80元
228,乖，摸摸头,7.6,25619,大冰 / 湖南文艺出版社 / 2014-9-1 / 36.00元
229,孩子你慢慢来,8.8,23196,龙应台 / 生活·读书·新知三联书店 / 2009-12-1 / 28.00元
230,天使与魔鬼,8.2,24413,[美] 丹.布朗 / 朱振武 / 人民文学出版社 / 2005-2 / 29.80元
231,尘埃星球,7.3,26269,落落 / 长江文艺出版社 / 2009-6 / 22.80元
232,伊豆的舞女,8.1,24257,[日] 川端康成 / 叶渭渠 / 广西师范大学出版社 / 2002-2 / 23.80元
233,世界尽头与冷酷仙境,8.5,23390,[日] 村上春树 / 林少华 / 上海译文出版社 / 2002-12 / 23.00元
234,球状闪电,8.7,23167,刘慈欣 / 四川科学技术出版社 / 2005-6 / 22.00元
235,七龍珠 34,9.2,21950,鸟山明 / 牟琳 / 東立 / 1993-6-25 / 6.90
236,菊与刀,8.2,23872,（美）鲁思・本尼迪克特 / 吕万和 / 商务印书馆 / 1990-6 / 16.00
237,秘密,7.3,25629,[澳] 朗达·拜恩 / 谢明宪 / 中国城市出版社 / 2008-11 / 32.00
238,倚天屠龙记(共四册),8.5,23012,金庸 / 三联书店 / 1999-04 / 0
